query_id,query,intent,intent_prob_informational,intent_prob_comparison,intent_prob_transactional,intent_prob_navigational,intent_confidence,mentions_own_brand,mentions_own_product,mentions_competitor_brand,mentions_competitor_product,out_of_category,mentions_competitor,own_product_only,latency_ms,model,input_tokens,output_tokens
Q0049,NIKKOR Z 50mm F1.8 在庫 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.13,0.95,0.03,0.02,0.03,0.03,0.8265,273.7,jev-1.13.0,1084,152
Q0050,Canon eos r10 特徴,informational,0.99,0.01,0.0,0.0,0.99,0.02,0.05,0.84,0.93,0.04,0.93,0.049,221.2,jev-1.13.0,1071,153
Q0051,nikon z6iii 初心者 性能比較,comparison,0.02,0.98,0.0,0.0,0.97,0.37,0.91,0.05,0.03,0.04,0.05,0.5733,304.7,jev-1.13.0,1079,150
Q0052,FE 50mm F1.8 sony nikon 性能比較,comparison,0.0,1.0,0.0,0.0,1.0,0.96,0.07,0.9,0.9,0.04,0.9,0.0028,222.6,jev-1.13.0,1081,150
Q0053,NIKKOR Z 40mm f/2 セール 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.16,0.95,0.03,0.02,0.03,0.03,0.798,261.9,jev-1.13.0,1083,152
Q0054,z9 修理 ダウンロード,navigational,0.35,0.0,0.14,0.51,0.35,0.11,0.94,0.02,0.03,0.05,0.03,0.8366,254.8,jev-1.13.0,1075,153
Q0055,canon RF 50mm f1.8 在庫,transactional,0.0,0.0,1.0,0.0,1.0,0.02,0.04,0.89,0.94,0.04,0.94,0.0392,280.2,jev-1.13.0,1077,152
Q0056,nikon Z f 中古 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.64,0.95,0.04,0.02,0.03,0.04,0.342,202.8,jev-1.13.0,1071,152
Q0057,200-600mm G望遠 価格 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.12,0.55,0.03,0.03,0.03,0.03,0.484,197.1,jev-1.13.0,1081,152
Q0058,NIKON NIKKOR Z 50mm F1.8 登録,navigational,0.27,0.0,0.29,0.44,0.25,0.92,0.95,0.04,0.02,0.05,0.04,0.076,189.8,jev-1.13.0,1083,153
Q0059,Nikon Zfc 値段 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.94,0.95,0.04,0.02,0.03,0.04,0.057,239.3,jev-1.13.0,1072,152
Q0060,nikon z9 在庫 vs,transactional,0.0,0.26,0.74,0.0,0.64,0.32,0.96,0.08,0.05,0.05,0.08,0.6528,226.5,jev-1.13.0,1072,152
Q0061,Z50II 評判 初心者向け,informational,0.97,0.03,0.0,0.0,0.95,0.07,0.93,0.03,0.02,0.04,0.03,0.8649,198.4,jev-1.13.0,1078,153
Q0062,プリンター 最安値,transactional,0.0,0.0,1.0,0.0,1.0,0.03,0.02,0.02,0.02,0.96,0.02,0.0194,227.1,jev-1.13.0,1072,152
Q0063,Z6 3 評判 初心者向け,informational,0.96,0.04,0.0,0.0,0.95,0.07,0.93,0.03,0.03,0.04,0.03,0.8649,307.9,jev-1.13.0,1078,153
Q0064,ニコン NIKKOR Z 50mm F1.8 中古,transactional,0.0,0.0,1.0,0.0,1.0,0.96,0.97,0.03,0.03,0.03,0.03,0.0388,243.4,jev-1.13.0,1082,152
Q0065,R5II CANON SONY vs,comparison,0.0,1.0,0.0,0.0,1.0,0.05,0.05,0.9,0.81,0.06,0.9,0.0475,212.0,jev-1.13.0,1071,150
Q0066,Z8 スペック,informational,1.0,0.0,0.0,0.0,1.0,0.05,0.95,0.02,0.03,0.04,0.03,0.9025,185.5,jev-1.13.0,1070,153
Q0067,Z6 mark3 セール 会員登録,transactional,0.0,0.0,0.94,0.06,0.91,0.12,0.94,0.03,0.02,0.04,0.03,0.8272,211.7,jev-1.13.0,1076,152
Q0068,複合機 比較,comparison,0.01,0.99,0.0,0.0,0.99,0.04,0.02,0.03,0.02,0.91,0.03,0.0192,206.8,jev-1.13.0,1071,150
Q0069,FE 200-600 G 値段 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.03,0.12,0.11,0.56,0.05,0.56,0.1164,210.6,jev-1.13.0,1081,152
Q0070,SONY ニコン 24-70 GMII 会員登録,navigational,0.03,0.13,0.1,0.74,0.65,0.96,0.71,0.96,0.9,0.08,0.96,0.0284,236.8,jev-1.13.0,1082,153
Q0071,NIKON Z9 最安値,transactional,0.0,0.0,1.0,0.0,1.0,0.93,0.96,0.04,0.02,0.03,0.04,0.0672,229.0,jev-1.13.0,1072,152
Q0072,nikon NIKKOR 180-600 設定方法 どこで キャンペーン,informational,0.98,0.0,0.01,0.01,0.96,0.58,0.89,0.04,0.02,0.05,0.04,0.3738,208.6,jev-1.13.0,1094,153
Q0073,Z50 II 口コミ 初心者向け,informational,0.94,0.06,0.0,0.0,0.92,0.08,0.92,0.03,0.03,0.03,0.03,0.8464,264.2,jev-1.13.0,1078,153
Q0074,株価 とは,informational,0.97,0.0,0.03,0.0,0.96,0.08,0.02,0.03,0.02,0.95,0.03,0.0184,240.7,jev-1.13.0,1068,153
Q0075,アルファ a9iii 価格 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.03,0.04,0.18,0.89,0.06,0.89,0.0388,284.4,jev-1.13.0,1076,152
Q0076,Z 24-120mm f4 作例 初心者向け,informational,1.0,0.0,0.0,0.0,1.0,0.07,0.95,0.02,0.03,0.03,0.03,0.8835,262.3,jev-1.13.0,1084,153
Q0077,nikon Z6III 使い方,informational,1.0,0.0,0.0,0.0,1.0,0.41,0.93,0.03,0.02,0.03,0.03,0.5487,218.7,jev-1.13.0,1072,153
Q0078,24-70 GMII SONY CANON どちらを選ぶべき,comparison,0.0,1.0,0.0,0.0,1.0,0.03,0.05,0.95,0.83,0.04,0.95,0.0485,225.6,jev-1.13.0,1083,150
Q0079,Canon ログイン,navigational,0.0,0.0,0.0,1.0,1.0,0.02,0.02,0.85,0.06,0.24,0.85,0.0196,209.1,jev-1.13.0,1069,153
Q0080,Canon Nikon どちらを選ぶべき,comparison,0.0,1.0,0.0,0.0,1.0,0.92,0.04,0.9,0.09,0.03,0.9,0.0032,261.0,jev-1.13.0,1074,150
Q0081,SONY α7 IV 通販 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.02,0.04,0.94,0.95,0.03,0.95,0.0392,298.6,jev-1.13.0,1074,152
Q0082,nikon ニコンZ8 在庫 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.97,0.96,0.05,0.02,0.03,0.05,0.0288,222.4,jev-1.13.0,1076,152
Q0083,Z 180-600mm 取扱説明書 ダウンロード,informational,0.6,0.0,0.11,0.29,0.46,0.12,0.96,0.02,0.02,0.03,0.02,0.8448,192.2,jev-1.13.0,1086,153
Q0084,Z 50mm f1.8 設定方法 まとめ,informational,1.0,0.0,0.0,0.0,1.0,0.1,0.82,0.02,0.02,0.03,0.02,0.738,282.2,jev-1.13.0,1082,153
Q0085,ソニー α7CII 登録,navigational,0.2,0.01,0.34,0.45,0.26,0.03,0.04,0.96,0.96,0.05,0.96,0.0388,258.2,jev-1.13.0,1074,153
Q0086,z30 問い合わせ,informational,0.56,0.0,0.06,0.38,0.4,0.05,0.92,0.02,0.03,0.05,0.03,0.874,248.7,jev-1.13.0,1073,153
Q0087,ニコンZ8 Nikon キヤノン vs,comparison,0.0,1.0,0.0,0.0,1.0,0.97,0.97,0.96,0.16,0.04,0.96,0.0291,224.9,jev-1.13.0,1075,150
Q0088,nikon 問い合わせ,navigational,0.01,0.0,0.0,0.99,0.99,0.68,0.03,0.03,0.02,0.16,0.03,0.0096,305.5,jev-1.13.0,1072,153
Q0089,NIKON カメラ 設定方法,informational,1.0,0.0,0.0,0.0,1.0,0.98,0.04,0.03,0.02,0.04,0.03,0.0008,265.0,jev-1.13.0,1076,153
Q0090,Z6 mark3 中古 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.11,0.93,0.03,0.03,0.03,0.03,0.8277,226.5,jev-1.13.0,1074,152
Q0091,RF24-105mm F4 L IS USM スペック 初心者向け,informational,0.99,0.01,0.0,0.0,0.98,0.03,0.07,0.07,0.6,0.09,0.6,0.0679,285.6,jev-1.13.0,1089,153
Q0092,α アルファ7Rマーク5 通販,transactional,0.0,0.0,1.0,0.0,1.0,0.03,0.05,0.18,0.89,0.05,0.89,0.0485,268.4,jev-1.13.0,1078,152
Q0093,ニコン NIKKOR Z 40mm f/2 最安値 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.97,0.95,0.03,0.02,0.03,0.03,0.0285,255.6,jev-1.13.0,1083,152
Q0094,Z50 2 通販 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.06,0.92,0.03,0.03,0.04,0.03,0.8648,254.4,jev-1.13.0,1075,152
Q0095,z30 作例,informational,1.0,0.0,0.0,0.0,0.99,0.05,0.93,0.03,0.03,0.04,0.03,0.8835,279.5,jev-1.13.0,1069,153
Q0096,Z 9 下取り 予約,transactional,0.0,0.0,0.97,0.03,0.96,0.09,0.95,0.03,0.03,0.04,0.03,0.8645,228.1,jev-1.13.0,1073,152
Q0097,炊飯器 おすすめ,comparison,0.01,0.99,0.0,0.0,0.99,0.03,0.02,0.02,0.02,0.97,0.02,0.0194,264.7,jev-1.13.0,1072,150
Q0098,NIKON NIKKOR Z 50mm F1.8 購入 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.96,0.95,0.05,0.02,0.02,0.05,0.038,292.6,jev-1.13.0,1084,152
Q0099,イヤホン 最安値,transactional,0.0,0.0,1.0,0.0,1.0,0.04,0.02,0.02,0.02,0.97,0.02,0.0192,198.6,jev-1.13.0,1071,152
Q0100,Z5II スペック まとめ,informational,1.0,0.0,0.0,0.0,1.0,0.06,0.93,0.03,0.02,0.04,0.03,0.8742,205.6,jev-1.13.0,1075,153
Q0101,Z5 II 在庫 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.08,0.87,0.02,0.02,0.04,0.02,0.8004,221.0,jev-1.13.0,1074,152
Q0102,Z fc 中古 店舗,transactional,0.0,0.0,0.99,0.01,0.99,0.1,0.92,0.03,0.02,0.04,0.03,0.828,230.3,jev-1.13.0,1072,152
Q0103,nikon zf 在庫 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.49,0.92,0.04,0.03,0.04,0.04,0.4692,225.8,jev-1.13.0,1072,152
Q0104,NIKKOR Z 24-120 F4 S 画質 初心者向け,informational,0.99,0.01,0.0,0.0,0.98,0.1,0.96,0.05,0.03,0.03,0.05,0.864,285.7,jev-1.13.0,1088,153
Q0105,SONY α7R V 登録,navigational,0.2,0.01,0.28,0.51,0.36,0.02,0.04,0.91,0.95,0.05,0.95,0.0392,250.8,jev-1.13.0,1073,153
Q0106,ニコン ワイヤレスイヤホン,informational,0.59,0.01,0.3,0.1,0.47,0.98,0.04,0.03,0.02,0.96,0.03,0.0008,227.8,jev-1.13.0,1076,153
Q0107,Z 30 口コミ 初心者向け,informational,0.94,0.05,0.01,0.0,0.93,0.09,0.93,0.03,0.03,0.03,0.03,0.8463,251.5,jev-1.13.0,1078,153
Q0108,SONY a9 III 比較 CANON eos r8,comparison,0.0,1.0,0.0,0.0,1.0,0.06,0.05,0.95,0.97,0.04,0.97,0.047,296.1,jev-1.13.0,1077,150
Q0109,nikon Z50 2 レビュー,informational,0.99,0.01,0.0,0.0,0.98,0.41,0.95,0.04,0.02,0.03,0.04,0.5605,305.2,jev-1.13.0,1075,153
Q0110,Z 30 口コミ,informational,0.97,0.02,0.01,0.0,0.96,0.08,0.95,0.02,0.02,0.03,0.02,0.874,223.5,jev-1.13.0,1071,153
Q0111,アルファ アルファ7Rマーク5 在庫,transactional,0.0,0.0,1.0,0.0,1.0,0.03,0.05,0.19,0.92,0.04,0.92,0.0485,234.3,jev-1.13.0,1082,152
Q0112,CANON EOS R8 と ニコン zfc 違い,comparison,0.0,1.0,0.0,0.0,1.0,0.31,0.82,0.85,0.96,0.03,0.96,0.5658,224.2,jev-1.13.0,1079,150
Q0113,Z5II 作例 初心者向け,informational,1.0,0.0,0.0,0.0,0.99,0.08,0.89,0.03,0.03,0.04,0.03,0.8188,321.7,jev-1.13.0,1076,153
Q0114,nikon カメラ レビュー,informational,0.97,0.03,0.0,0.0,0.96,0.87,0.04,0.04,0.03,0.04,0.04,0.0052,266.8,jev-1.13.0,1074,153
Q0115,Z8 キャンペーン 店舗,navigational,0.01,0.0,0.44,0.55,0.41,0.09,0.96,0.03,0.02,0.06,0.03,0.8736,219.6,jev-1.13.0,1076,153
Q0116,nikon Z fc 特徴,informational,1.0,0.0,0.0,0.0,1.0,0.5,0.94,0.04,0.02,0.03,0.04,0.47,209.5,jev-1.13.0,1070,153
Q0117,Nikon NIKKOR Z 50mm f/1.8 S キャンペーン amazon,transactional,0.0,0.0,0.99,0.01,0.99,0.8,0.96,0.04,0.03,0.04,0.04,0.192,224.7,jev-1.13.0,1088,152
Q0118,Nikon Z50 2 口コミ どこで ダウンロード,informational,0.72,0.01,0.07,0.2,0.63,0.61,0.96,0.04,0.02,0.06,0.04,0.3744,220.1,jev-1.13.0,1085,153
Q0119,ニコンZf 中古 店舗,transactional,0.0,0.0,0.99,0.01,0.99,0.98,0.96,0.02,0.02,0.03,0.02,0.0192,298.1,jev-1.13.0,1075,152
Q0120,ニコン 修理,navigational,0.09,0.0,0.22,0.69,0.58,0.98,0.03,0.02,0.02,0.05,0.02,0.0006,220.3,jev-1.13.0,1069,153
Q0121,a1ii 最安値 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.05,0.2,0.04,0.28,0.08,0.28,0.19,303.9,jev-1.13.0,1074,152
Q0122,ノートパソコン 最安値,transactional,0.0,0.0,1.0,0.0,1.0,0.03,0.02,0.03,0.02,0.97,0.03,0.0194,281.2,jev-1.13.0,1074,152
Q0123,Z30 修理 ダウンロード,navigational,0.42,0.0,0.15,0.43,0.24,0.08,0.93,0.02,0.03,0.05,0.03,0.8556,377.7,jev-1.13.0,1076,153
Q0124,CANON 炊飯器,transactional,0.41,0.02,0.51,0.06,0.35,0.02,0.02,0.9,0.16,0.96,0.9,0.0196,325.7,jev-1.13.0,1070,152
Q0125,Z6 mark3 購入 店舗,transactional,0.0,0.0,1.0,0.0,0.99,0.08,0.9,0.03,0.02,0.03,0.03,0.828,333.3,jev-1.13.0,1075,152
Q0126,NIKON z30 値段 とは,transactional,0.13,0.0,0.87,0.0,0.82,0.96,0.93,0.04,0.02,0.04,0.04,0.0372,252.2,jev-1.13.0,1076,152
Q0127,テレビ 比較,comparison,0.03,0.97,0.0,0.0,0.96,0.03,0.02,0.03,0.02,0.96,0.03,0.0194,211.5,jev-1.13.0,1068,150
Q0128,NIKKOR Z 40mm F2 とは 初心者向け,informational,1.0,0.0,0.0,0.0,1.0,0.17,0.93,0.04,0.03,0.04,0.04,0.7719,270.0,jev-1.13.0,1084,153
Q0129,NIKKOR Z 180-600mm キャンペーン 店舗,transactional,0.01,0.0,0.66,0.33,0.55,0.15,0.95,0.03,0.02,0.04,0.03,0.8075,267.8,jev-1.13.0,1088,152
Q0130,NIKON Z 40mm f2 特徴,informational,1.0,0.0,0.0,0.0,1.0,0.96,0.94,0.03,0.02,0.04,0.03,0.0376,243.5,jev-1.13.0,1076,153
Q0131,sony a7c2 スペック,informational,0.99,0.01,0.0,0.0,0.99,0.02,0.04,0.93,0.96,0.04,0.96,0.0392,266.6,jev-1.13.0,1073,153
Q0132,α α7 IV 性能比較 Nikon NIKKOR Z 24-120 F4 S,comparison,0.0,1.0,0.0,0.0,1.0,0.77,0.85,0.16,0.93,0.04,0.93,0.1955,201.2,jev-1.13.0,1089,150
Q0133,Zf 価格 予約,transactional,0.0,0.0,1.0,0.0,1.0,0.07,0.95,0.03,0.03,0.03,0.03,0.8835,227.8,jev-1.13.0,1071,152
Q0134,ニコン Z50 2 キャンペーン amazon,transactional,0.0,0.0,0.99,0.01,0.99,0.98,0.96,0.03,0.03,0.04,0.03,0.0192,268.5,jev-1.13.0,1079,152
Q0135,sony ZV-E10 II 通販 修理,transactional,0.01,0.0,0.97,0.02,0.96,0.03,0.04,0.9,0.95,0.05,0.95,0.0388,207.7,jev-1.13.0,1076,152
Q0136,Nikon Z8 登録,navigational,0.15,0.0,0.25,0.6,0.47,0.69,0.95,0.03,0.02,0.07,0.03,0.2945,233.3,jev-1.13.0,1071,153
Q0137,z9 購入 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.07,0.94,0.03,0.03,0.03,0.03,0.8742,274.4,jev-1.13.0,1073,152
Q0138,Z8 画質 ログイン,navigational,0.04,0.0,0.0,0.96,0.95,0.08,0.92,0.03,0.02,0.06,0.03,0.8464,209.2,jev-1.13.0,1073,153
Q0139,40mm f2 単焦点 最安値 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.08,0.09,0.03,0.03,0.03,0.03,0.0828,271.9,jev-1.13.0,1081,152
Q0140,z8 サポート,navigational,0.31,0.0,0.0,0.69,0.57,0.1,0.92,0.03,0.03,0.04,0.03,0.828,327.5,jev-1.13.0,1070,153
Q0141,Nikon Z5 2 在庫,transactional,0.0,0.0,1.0,0.0,1.0,0.65,0.9,0.03,0.03,0.04,0.03,0.315,202.3,jev-1.13.0,1073,152
Q0142,Zfc 使い方 初心者向け,informational,1.0,0.0,0.0,0.0,1.0,0.05,0.93,0.02,0.02,0.03,0.02,0.8835,310.2,jev-1.13.0,1076,153
Q0143,Z 9 登録,navigational,0.27,0.0,0.16,0.57,0.42,0.09,0.95,0.02,0.03,0.06,0.03,0.8645,205.5,jev-1.13.0,1070,153
Q0144,Nikon Z 8 在庫,transactional,0.0,0.0,1.0,0.0,1.0,0.53,0.96,0.03,0.02,0.04,0.03,0.4512,263.6,jev-1.13.0,1072,152
Q0145,R50 最安値 楽天,transactional,0.0,0.0,1.0,0.0,1.0,0.06,0.52,0.04,0.23,0.05,0.23,0.4888,264.6,jev-1.13.0,1074,152
Q0146,キヤノン EOS R6 Mark II どっちがいい ソニー α7C II,comparison,0.0,1.0,0.0,0.0,1.0,0.04,0.05,0.97,0.97,0.03,0.97,0.048,434.3,jev-1.13.0,1087,150
Q0147,キヤノン Sony R6 Mark II 比較,comparison,0.0,1.0,0.0,0.0,1.0,0.03,0.09,0.93,0.92,0.05,0.93,0.0873,283.6,jev-1.13.0,1076,150
Q0148,CANON EOS R50 中古 amazon,transactional,0.0,0.0,1.0,0.0,1.0,0.02,0.04,0.86,0.95,0.04,0.95,0.0392,228.9,jev-1.13.0,1073,152
Q0149,eos r7 在庫 店舗,transactional,0.0,0.0,1.0,0.0,1.0,0.03,0.05,0.26,0.94,0.06,0.94,0.0485,270.4,jev-1.13.0,1075,152
Q0150,キヤノン eos r50 公式サイト,navigational,0.0,0.0,0.0,1.0,1.0,0.02,0.04,0.94,0.93,0.05,0.94,0.0392,294.4,jev-1.13.0,1077,153
